0.0000	0.2807
1.0000	0.1779
1.0000	0.8032
0.0000	0.1274
0.0000	0.1618
1.0000	0.4548
1.0000	0.8367
1.0000	0.7531
1.0000	0.9232
0.0000	0.0650
1.0000	0.1570
0.0000	0.0734
1.0000	0.2468
1.0000	0.4743
1.0000	0.6871
0.0000	0.1976
1.0000	0.9071
0.0000	0.1062
1.0000	0.7005
0.0000	0.1045
0.0000	0.3432
0.0000	0.5157
1.0000	0.4928
0.0000	0.0799
0.0000	0.8349
0.0000	0.1067
0.0000	0.1049
0.0000	0.3043
1.0000	0.8583
0.0000	0.0633
1.0000	0.5463
0.0000	0.3585
0.0000	0.6814
1.0000	0.6183
0.0000	0.0739
0.0000	0.4330
1.0000	0.9552
0.0000	0.1232
1.0000	0.5758
1.0000	0.9363
1.0000	0.8918
0.0000	0.2049
0.0000	0.0704
1.0000	0.2514
0.0000	0.5082
1.0000	0.6446
1.0000	0.5192
1.0000	0.9250
0.0000	0.0301
0.0000	0.1314
0.0000	0.0825
0.0000	0.0495
0.0000	0.0718
0.0000	0.0728
1.0000	0.4769
1.0000	0.9169
0.0000	0.0639
1.0000	0.6508
1.0000	0.7855
1.0000	0.8077
0.0000	0.2219
0.0000	0.4485
1.0000	0.9384
1.0000	0.8971
0.0000	0.3595
1.0000	0.8463
0.0000	0.5348
0.0000	0.0969
1.0000	0.8891
0.0000	0.1187
1.0000	0.7342
1.0000	0.4894
0.0000	0.9051
1.0000	0.8330
1.0000	0.0688
0.0000	0.2631
0.0000	0.5806
1.0000	0.1509
1.0000	0.8111
1.0000	0.4806
0.0000	0.2713
0.0000	0.0775
0.0000	0.1133
0.0000	0.3282
0.0000	0.1972
0.0000	0.1709
1.0000	0.9687
0.0000	0.3571
0.0000	0.7806
0.0000	0.0604
1.0000	0.9739
0.0000	0.0317
1.0000	0.2634
0.0000	0.0724
0.0000	0.0328
0.0000	0.6463
0.0000	0.5452
0.0000	0.4187
0.0000	0.1719
1.0000	0.2593
1.0000	0.7109
1.0000	0.8177
1.0000	0.9057
1.0000	0.2021
0.0000	0.2353
1.0000	0.9837
0.0000	0.4383
0.0000	0.3106
1.0000	0.7359
1.0000	0.9603
0.0000	0.2952
